frame.number,frame.time_relative,vlan.id,eth.src,eth.dst,ip.src,ip.dst,icmp.type
35,23.436934000,10,02:42:0a:3c:0a:0a,02:42:0a:3c:0a:14,10.60.10.10,10.60.10.20,8
36,23.438026000,10,02:42:0a:3c:0a:14,02:42:0a:3c:0a:0a,10.60.10.20,10.60.10.10,0
40,24.438938000,10,02:42:0a:3c:0a:0a,02:42:0a:3c:0a:14,10.60.10.10,10.60.10.20,8
41,24.439787000,10,02:42:0a:3c:0a:14,02:42:0a:3c:0a:0a,10.60.10.20,10.60.10.10,0
43,25.441847000,10,02:42:0a:3c:0a:0a,02:42:0a:3c:0a:14,10.60.10.10,10.60.10.20,8
44,25.442357000,10,02:42:0a:3c:0a:14,02:42:0a:3c:0a:0a,10.60.10.20,10.60.10.10,0
47,25.682466000,20,02:42:0a:3c:14:0a,02:42:0a:3c:14:14,10.60.20.10,10.60.20.20,8
48,25.692985000,20,02:42:0a:3c:14:14,02:42:0a:3c:14:0a,10.60.20.20,10.60.20.10,0
49,26.674526000,20,02:42:0a:3c:14:0a,02:42:0a:3c:14:14,10.60.20.10,10.60.20.20,8
50,26.675163000,20,02:42:0a:3c:14:14,02:42:0a:3c:14:0a,10.60.20.20,10.60.20.10,0
52,27.676694000,20,02:42:0a:3c:14:0a,02:42:0a:3c:14:14,10.60.20.10,10.60.20.20,8
53,27.677247000,20,02:42:0a:3c:14:14,02:42:0a:3c:14:0a,10.60.20.20,10.60.20.10,0
